state	region	instrument	reason
measured	python/oxitest/__init__.py	python	-
measured	python/oxitest/__main__.py	python	-
measured	python/oxitest/_bridge/__init__.py	python	-
measured	python/oxitest/_bridge/_approx.py	python	-
measured	python/oxitest/_bridge/_arrange_api.py	python	-
measured	python/oxitest/_bridge/_assert_error.py	python	-
measured	python/oxitest/_bridge/_async_backend.py	python	-
measured	python/oxitest/_bridge/_async_fixture_handle.py	python	-
measured	python/oxitest/_bridge/_async_orchestrator.py	python	-
measured	python/oxitest/_bridge/_async_session_guard.py	python	-
measured	python/oxitest/_bridge/_boundary.py	python	-
measured	python/oxitest/_bridge/_builtin_context.py	python	-
measured	python/oxitest/_bridge/_builtins/__init__.py	python	-
measured	python/oxitest/_bridge/_builtins/_base.py	python	-
measured	python/oxitest/_bridge/_builtins/_capture.py	python	-
measured	python/oxitest/_bridge/_builtins/_logcapture.py	python	-
measured	python/oxitest/_bridge/_builtins/_patch.py	python	-
measured	python/oxitest/_bridge/_builtins/_tempdir.py	python	-
measured	python/oxitest/_bridge/_builtins/_warncapture.py	python	-
measured	python/oxitest/_bridge/_coverage.py	python	-
measured	python/oxitest/_bridge/_cwd_guard.py	python	-
measured	python/oxitest/_bridge/_debugger.py	python	-
measured	python/oxitest/_bridge/_diagnostic_collector.py	python	-
measured	python/oxitest/_bridge/_diagnostics.py	python	-
measured	python/oxitest/_bridge/_doctest_runner.py	python	-
measured	python/oxitest/_bridge/_errors.py	python	-
measured	python/oxitest/_bridge/_fixture_context.py	python	-
measured	python/oxitest/_bridge/_fixture_decorator.py	python	-
measured	python/oxitest/_bridge/_fixture_instantiator.py	python	-
measured	python/oxitest/_bridge/_fixture_registry.py	python	-
measured	python/oxitest/_bridge/_fixture_session.py	python	-
measured	python/oxitest/_bridge/_fixture_type.py	python	-
measured	python/oxitest/_bridge/_fixture_validator.py	python	-
measured	python/oxitest/_bridge/_fixtures.py	python	-
measured	python/oxitest/_bridge/_fn_metadata.py	python	-
measured	python/oxitest/_bridge/_importorskip.py	python	-
measured	python/oxitest/_bridge/_lifetime.py	python	-
measured	python/oxitest/_bridge/_loader.py	python	-
